Kabupaten/Kota,TOTAL,DAGING,TELUR DAN SUSU,IKAN,Daging_sapi,"Daging_kambing,_domba/biri-biri",Daging_babi,Daging_ayam_ras,Daging_ayam_kampung,Daging_segar_lainnya,Daging_diawetkan_lainnya,"Tetelan,_sandung_lamur",Daging_olahan_matang,"Lainnya_(_hati,_jeroan,_iga,_kaki,_buntut,_kepala,_dsb)",Ayam_matang,Telur_ayam_ras,Telur_ayam_kampung,Telur_itik/telur_itik_manila,"Telur_lainnya_(telur_puyuh,_telur_asin_mentah_maupun_matang,_telur_penyu,_telur_angsa,_dsb)",Susu_cair_pabrik,Susu_kental_manis,Susu_bubuk,Susu_bubuk_bayi,Susu_lainnya_dan_hasil_lain_dari_susu,Ekor_kuning,Tongkol_tuna_cakalang_dencis_ikan_kayu,Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung,_lema/tatare,_banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas,_nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan_segar/basah_lainnya,"Udang,_lobster","Cumi-cumi,_sotong,_gurita","Ketam,_kepiting,_rajungan","Kerang,_siput,_bekicot,_remis",Udang_dan_hewan_air_lainnya_yang_segar_lainnya,Kembung_diawetkan/peda,Tenggiri_diawetkan,Tongkol/tuna/cakalang_diawetkan,Teri_diawetkan,Selar_diawetkan,Sepat_diawetkan,Bandeng_diawetkan,Gabus_diawetkan,"Ikan_dalam_kaleng_(sardencis,_tuna_dalam_kaleng,_dsb)",Ikan_diawetkan_lainnya,"Udang_diawetkan_(ebi,_rebon)","Cumi-cumi,_sotong,_gurita_diawetkan",ang_dan_hewan_air_lainnya_yang_diawetkan,Ikan_matang
Kota Dumai,38085,8578,10531,18976,1003,142,134,3951,743,37,29,31,1127,68,1313,3834,179,127,109,231,1068,3279,1336,367,19,2049,0,0,0,234,658,731,32,80,822,72,1674,0,0,1008,275,23,878,178,78,3711,1334,537,95,448,40,125,17,5,2224,131,137,12,41,45,602,61,9,37,573
Kerinci,24152,5711,4833,13608,607,0,26,3019,196,107,3,11,797,281,664,2636,116,280,73,67,313,631,708,9,46,1784,0,0,0,103,18,115,62,0,75,2180,2116,0,0,350,0,0,18,0,12,2437,150,13,0,35,41,59,17,141,1444,84,282,16,6,125,1246,166,0,265,248
Merangin,27038,8473,5621,12944,181,0,7,3654,1528,364,0,0,765,93,1881,2705,137,8,44,14,640,1260,771,40,58,1576,0,0,0,9,15,202,103,24,437,143,3191,0,0,1103,57,0,601,8,28,1176,113,225,0,0,0,150,70,488,1949,19,71,23,13,216,162,5,0,7,760
Sarolangun,24533,6814,6189,11530,251,0,15,3750,1160,55,0,2,734,152,695,3018,141,41,40,49,977,661,1230,31,59,779,0,0,0,0,2,22,115,67,866,44,3346,0,0,794,36,19,1369,94,41,988,194,94,0,8,6,29,26,100,1835,13,11,4,19,221,213,7,22,9,137
Batang Hari,25590,7803,6012,11775,572,0,3,3856,746,107,0,48,915,133,1423,2873,232,34,45,27,941,1339,410,110,0,757,0,0,0,0,0,85,94,10,861,29,2845,0,0,445,5,0,2280,44,35,1031,537,66,0,89,20,150,33,60,1269,20,50,8,30,185,178,9,0,9,541
Muaro Jambi,27855,8739,6296,12820,591,57,27,4707,818,112,5,14,630,240,1538,2601,128,72,84,30,1179,903,1004,294,16,1282,0,0,0,14,29,291,150,26,1317,38,3013,0,0,1137,13,17,1808,22,40,871,276,106,0,44,83,114,11,102,1221,12,39,24,19,119,61,0,6,3,512
Tanjung Jabung Timur,25394,5557,5430,14407,167,35,11,2517,738,37,0,0,830,69,1153,2780,73,95,8,29,1053,569,783,40,12,928,0,0,0,33,10,571,177,30,683,67,2085,0,0,582,32,72,862,481,68,3100,1054,193,208,293,524,60,9,20,948,29,31,0,36,43,619,9,3,66,481
Tanjung Jabung Barat,29057,6920,7330,14807,127,0,26,3263,1125,24,0,0,846,385,1124,4005,171,8,79,75,899,416,1600,78,12,923,0,0,0,71,13,1324,53,351,527,92,2136,0,0,681,81,0,1069,817,77,2173,1184,89,1,550,241,118,30,73,1111,3,50,8,12,237,499,99,0,2,112
Tebo,24089,7193,5995,10901,483,33,19,2739,1767,69,0,87,594,56,1346,2517,167,23,35,18,995,1207,995,37,9,916,0,0,0,0,47,186,18,20,945,13,2318,0,0,760,2,0,1912,18,53,730,192,52,0,20,33,89,38,53,1962,14,20,0,12,100,89,17,3,8,261
Bungo,28470,7790,7385,13295,585,35,17,3529,1133,141,0,102,650,119,1479,3457,150,38,180,90,912,1168,1310,81,64,1563,0,0,0,0,16,243,35,8,231,55,3765,0,0,550,141,0,905,56,216,1281,555,141,0,44,18,96,11,162,2180,44,35,7,12,159,238,4,44,7,473
Kota Jambi,36394,10950,8392,17052,1629,49,209,5258,628,18,16,98,937,267,1841,3139,221,21,161,239,539,2328,1425,319,98,2150,0,0,0,76,152,659,208,53,905,3,3981,0,0,1104,97,48,1480,386,310,482,1462,395,22,137,109,121,6,47,1252,10,58,12,102,51,186,2,34,13,939
Kota Sungai Penuh,33120,9481,7540,16099,2953,0,0,2803,596,68,0,88,759,107,2107,3013,201,703,28,96,498,2350,604,47,147,2842,0,0,0,99,246,271,235,94,194,2609,3804,0,0,447,10,9,33,0,23,1236,594,127,6,15,14,48,33,123,1377,65,274,45,87,114,440,81,0,162,342
Ogan Komering Ulu,22268,5404,7382,9482,288,35,66,3116,770,23,0,0,460,187,459,4047,82,9,33,38,1180,1134,859,0,22,558,0,0,0,0,0,47,41,142,317,2275,585,0,0,1272,20,0,1871,31,57,334,370,163,0,9,17,252,19,65,449,31,235,2,1,89,88,16,4,0,122
Ogan Komering Ilir,22418,5285,7096,10037,217,167,130,2163,1330,67,0,12,634,60,505,2840,73,249,47,95,1270,1302,1154,67,1,485,0,0,0,0,4,119,31,338,1865,178,899,0,0,992,17,9,1451,39,76,1810,153,62,0,119,19,88,4,87,261,25,147,3,44,54,411,14,0,35,198
Muara Enim,23743,6346,7125,10272,848,0,7,2945,522,48,1,29,955,105,886,3231,101,44,25,163,1350,956,1027,229,17,556,0,0,0,36,5,40,2,45,560,133,2545,0,0,719,6,9,1960,70,127,733,253,310,0,53,29,55,49,31,686,42,482,19,46,96,236,46,17,37,239
Lahat,24681,6048,7381,11252,888,47,0,3014,467,57,0,16,694,243,622,3198,156,5,8,55,908,1394,1294,364,31,1011,0,0,0,0,1,48,78,27,81,2324,1763,0,0,1386,24,47,1206,54,30,483,421,444,0,88,7,24,8,30,567,44,253,0,4,26,297,3,5,33,435
Musi Rawas,21643,7198,5151,9294,325,70,8,2477,1334,30,0,49,745,136,2024,2555,156,91,34,31,1182,757,294,48,0,268,0,0,0,8,0,87,43,26,991,168,3322,0,0,771,6,21,976,37,26,150,68,42,0,26,0,41,0,91,793,64,177,9,0,256,131,5,2,2,687
Musi Banyuasin,25495,7234,6845,11416,712,75,23,3276,1280,265,0,49,759,80,715,3177,148,52,12,48,1654,425,1307,22,6,423,0,0,0,26,0,112,93,198,1534,36,2197,0,0,1083,64,21,1981,37,21,1244,179,44,10,69,26,83,2,128,822,88,383,43,64,86,209,22,0,25,63
Banyu Asin,26378,6448,7364,12566,530,21,105,2838,958,51,0,0,785,127,1033,3338,158,56,71,74,1192,1080,1291,105,42,999,0,0,0,108,47,415,80,620,1509,633,1331,0,0,718,41,168,1374,159,94,1085,570,197,0,112,73,131,6,7,446,67,413,12,21,74,382,66,0,25,583
Ogan Komering Ulu Selatan,17843,3706,6208,7929,339,40,0,1982,870,23,7,43,254,65,83,3454,180,98,12,28,872,774,768,22,0,417,0,0,0,0,11,10,37,169,61,1863,1305,0,0,1172,27,0,888,22,19,189,59,50,0,0,6,139,15,89,449,112,276,2,77,88,249,7,1,18,102
Ogan Komering Ulu Timur,22444,6498,6957,8989,583,21,115,1449,1790,147,5,6,458,134,1790,2745,119,658,7,25,1042,708,1576,76,8,369,0,0,0,0,11,96,73,82,1031,766,634,0,0,2064,6,12,1347,24,87,441,171,16,0,0,22,148,2,162,170,88,135,4,6,126,278,25,0,9,584
Ogan Ilir,24672,6739,6251,11682,276,0,0,2330,609,51,0,14,668,63,2728,2634,138,359,37,98,929,863,1079,115,0,356,0,0,0,3,12,135,15,21,1216,151,1463,0,0,353,11,0,2926,46,43,2341,195,33,0,13,0,46,11,22,368,23,310,13,10,84,149,0,0,6,1307
Empat Lawang,14365,3471,4180,6714,360,19,0,1802,310,36,0,17,346,49,532,2254,81,18,9,73,906,275,562,2,0,557,0,0,0,33,0,0,53,3,20,1223,1780,0,0,648,4,0,409,15,43,304,87,143,0,4,10,0,22,21,447,18,207,0,10,37,304,4,0,35,273
Penukal Abab Lematang Ilir,21053,5171,6033,9849,534,25,8,3058,421,43,10,0,420,182,470,3012,128,0,16,80,1243,653,806,95,0,269,0,0,0,0,0,0,11,19,814,33,2178,0,0,696,9,0,2372,65,0,1034,18,69,7,108,36,21,3,2,552,68,700,15,46,105,99,20,0,5,475
Musi Rawas Utara,25676,8591,5967,11118,239,0,268,2983,1013,29,20,4,1339,85,2611,2650,182,6,27,89,1440,481,1069,24,64,831,0,0,0,3,0,40,261,39,768,106,2613,0,0,428,50,54,1940,55,96,980,17,26,0,8,19,59,18,122,1105,35,166,0,31,253,118,1,0,0,876
Kota Palembang,32568,8404,9352,14812,1051,54,42,3886,253,68,18,63,741,259,1969,3352,114,71,181,550,1439,2175,1212,256,44,958,0,0,0,159,102,553,23,81,752,1665,1030,0,0,1180,111,25,1728,114,445,978,1349,621,18,128,26,158,14,17,477,21,257,9,30,84,287,25,29,6,1352
Kota Prabumulih,24520,5503,8817,10200,432,0,0,2882,45,102,23,5,643,212,1159,2986,104,31,52,411,1126,2774,1319,14,58,1194,0,0,0,0,5,11,21,38,426,22,2460,0,0,1107,71,12,1786,19,18,650,329,393,28,96,7,6,0,35,319,38,377,0,6,82,214,1,18,7,404
Kota Pagar Alam,24740,8662,6584,9494,816,98,0,3576,481,0,92,58,641,120,2780,3325,106,43,20,25,684,1612,767,3,12,898,0,0,0,3,0,4,47,8,169,3483,612,0,0,1162,66,0,425,23,0,45,101,220,0,1,0,15,5,87,351,48,112,3,0,30,209,15,13,16,1323
Kota Lubuklinggau,28772,9976,8443,10353,1151,21,34,3784,847,135,13,126,714,185,2966,3128,119,21,49,252,1171,1998,1634,73,0,1453,0,0,0,173,5,84,8,53,93,159,3491,0,0,710,85,0,1089,21,28,133,477,247,11,18,30,33,0,40,525,10,120,2,27,112,220,8,6,5,877
Bengkulu Selatan,30652,10630,6083,13939,901,0,0,3415,1774,64,28,40,642,106,3660,2790,104,151,8,198,513,1145,969,205,32,2216,0,0,0,204,49,36,86,8,229,175,4418,0,0,309,178,8,9,69,49,2002,1000,72,44,61,107,4,3,56,534,5,11,1,3,261,213,0,66,22,1431
Rejang Lebong,18640,6119,5489,7032,507,24,2,2698,420,40,0,1,307,95,2025,2790,49,25,6,25,748,738,1088,20,115,1677,0,0,0,16,9,0,73,8,9,317,1820,0,0,288,63,14,325,8,0,88,71,0,0,1,76,11,0,89,904,34,241,1,6,72,188,2,0,2,619
Bengkulu Utara,24174,8434,6529,9211,1439,245,9,3015,2011,0,0,53,217,146,1299,3010,260,23,5,32,836,1455,858,50,18,2866,0,0,0,105,12,8,54,17,271,60,2746,0,0,260,10,0,7,12,20,339,295,65,5,5,110,49,29,47,931,106,92,15,0,171,174,11,0,0,319
Kaur,23984,5451,6079,12454,623,0,65,2777,1120,67,5,68,237,135,354,2532,176,160,13,91,740,1029,1329,10,228,3760,0,0,0,122,10,102,117,13,107,218,2806,0,0,302,227,0,0,0,47,1774,727,276,15,91,81,0,0,359,256,35,12,0,15,136,336,16,69,16,409
Seluma,18370,4362,5079,8929,511,63,13,1915,985,17,5,148,129,156,420,2535,37,39,11,37,761,584,677,399,30,2168,0,0,0,25,9,16,68,13,706,38,2453,0,0,241,15,0,0,0,3,1498,373,0,12,61,75,4,0,57,536,29,12,3,0,162,255,0,0,6,91
Mukomuko,27859,7544,6791,13524,363,7,21,2768,1889,280,4,212,329,116,1555,3069,373,58,85,88,958,970,918,272,175,2624,0,0,0,469,33,739,111,72,265,186,2795,0,0,674,38,14,141,156,75,1970,630,113,1,48,77,24,7,38,592,119,28,4,0,92,320,10,40,26,993
Lebong,24163,7001,5063,12099,431,44,3,2210,1700,381,30,174,120,394,1514,2500,216,387,75,50,625,522,673,15,93,1466,0,0,0,0,0,1,26,0,386,176,4902,0,0,759,85,0,30,0,31,990,309,63,0,42,22,12,12,167,1386,26,266,8,5,171,237,2,0,2,517
Kepahiang,17065,4582,4648,7835,457,0,0,1942,706,10,0,22,205,54,1186,2610,174,14,19,46,676,599,489,20,8,2853,0,0,0,16,0,6,0,0,15,501,1402,0,0,225,10,0,66,21,11,392,144,44,0,55,5,4,0,50,1072,62,107,4,24,112,279,0,0,47,308
Bengkulu Tengah,24323,7235,6133,10955,146,21,3,3167,492,0,0,61,479,176,2690,2952,172,24,0,35,1042,731,1091,86,38,3567,0,0,0,48,4,87,41,8,183,148,2107,0,0,384,23,0,15,68,2,1444,198,0,15,54,0,3,29,28,735,97,51,0,27,155,247,0,0,10,1177
Kota Bengkulu,37628,10887,10866,15875,1662,0,7,4591,857,122,28,185,510,294,2631,3676,218,38,144,697,915,3297,1304,576,120,3533,0,0,0,182,46,76,135,35,91,756,2492,0,0,539,513,0,111,149,115,2765,1490,514,144,41,30,14,2,34,590,42,140,0,68,125,150,5,54,3,891
Lampung Barat,21013,5714,5421,9878,388,435,0,2181,1652,166,0,0,358,116,418,2637,103,253,23,14,962,763,587,79,64,1250,0,0,0,99,112,126,32,94,247,1833,3211,0,0,423,10,0,115,42,13,483,0,119,0,17,16,192,35,291,149,84,140,17,40,32,485,1,0,9,161
Tanggamus,20195,4853,5852,9490,91,167,0,997,977,103,0,9,746,21,1742,2915,123,171,42,157,777,1185,468,15,33,829,0,0,0,62,1028,707,190,65,12,166,1185,0,0,935,27,9,33,46,68,1066,25,1186,10,0,4,73,7,47,219,169,16,3,28,8,227,1,0,1,1038
Lampung Selatan,22663,6822,6274,9567,794,11,14,1478,1473,99,0,137,1017,69,1730,2999,109,34,31,202,1065,1057,772,5,110,799,0,0,0,44,434,909,227,316,150,80,447,0,0,793,48,46,489,358,126,662,283,1279,63,20,8,103,12,28,299,190,65,1,4,53,445,16,13,6,751
Lampung Timur,17198,4888,5624,6686,144,182,0,978,2207,108,8,6,379,48,828,2742,88,163,32,115,1009,706,768,1,85,251,0,0,0,23,18,372,102,444,146,55,539,0,0,1225,33,4,660,330,98,473,173,341,20,6,0,84,94,153,192,57,1,2,14,7,562,22,5,0,180
Lampung Tengah,19313,5023,7048,7242,120,164,54,1617,1336,85,13,83,398,119,1034,3239,169,135,34,69,1137,1092,1013,159,37,641,0,0,0,0,11,303,14,163,475,84,699,0,0,1508,0,0,777,33,152,336,107,146,0,1,7,59,7,231,245,54,25,1,2,66,765,10,0,93,227
Lampung Utara,20116,4879,6820,8417,279,0,28,1738,1407,63,2,89,922,34,317,3585,143,73,16,37,1367,1101,499,0,58,793,0,0,0,0,29,340,42,344,311,97,2580,0,0,1074,43,0,800,81,50,407,120,117,0,0,6,77,0,210,235,54,84,9,2,29,408,5,4,0,66
Way Kanan,19863,5504,6218,8141,519,170,160,1359,1912,102,0,0,348,87,847,3286,127,58,50,85,1039,866,610,96,0,511,0,0,0,5,14,96,82,183,378,121,1262,0,0,1746,56,24,1288,19,75,631,45,105,0,0,0,56,2,123,158,85,56,35,28,33,521,27,0,57,319
Tulangbawang,21583,5640,6640,9303,149,260,169,966,2516,0,0,0,487,100,993,3056,320,68,14,22,1397,710,1000,53,0,229,0,0,0,7,0,140,22,863,1628,94,1739,0,0,833,36,0,654,144,61,661,581,59,1,15,56,11,8,187,130,114,10,0,12,0,642,8,1,12,345
Pesawaran,18933,4645,6472,7816,210,195,0,1176,1471,60,0,16,589,72,856,2986,46,135,55,174,1103,1000,963,9,162,930,0,0,0,120,349,940,216,91,56,93,511,0,0,1111,0,20,162,22,50,743,133,955,30,3,9,97,0,149,197,142,32,0,0,20,313,3,18,40,261
Pringsewu,20438,5659,6701,8078,327,80,7,1251,1210,142,5,122,861,114,1540,2969,137,224,90,57,1130,1216,879,0,85,1722,0,0,0,24,109,355,36,30,131,122,1198,0,0,2048,7,0,281,0,93,204,107,453,2,3,56,103,13,157,221,60,8,1,5,20,182,7,0,14,306
Mesuji,20564,5767,6497,8300,149,538,9,1117,2603,0,219,0,615,121,396,2938,132,90,4,62,1278,1554,438,0,0,412,0,0,0,10,4,245,5,881,1347,25,569,0,0,1124,6,6,823,163,124,952,129,58,0,20,5,43,0,164,134,23,20,8,97,38,709,18,0,63,75
Tulang Bawang Barat,14892,3320,5103,6469,36,155,0,893,1082,134,0,0,420,92,508,2806,69,9,1,90,764,626,603,135,0,257,0,0,0,0,0,115,20,242,504,31,1032,0,0,1115,19,0,1080,103,116,560,13,80,0,41,16,27,0,98,74,46,1,3,0,15,712,1,0,97,51
Pesisir Barat,22051,3881,5777,12393,194,67,114,1507,1059,107,0,6,386,35,406,3038,316,232,4,45,569,816,684,72,447,2379,0,0,0,716,253,828,137,59,444,1189,1205,0,0,400,508,58,0,42,82,2455,389,324,0,0,54,74,53,6,208,23,132,4,5,54,187,0,8,5,112
Kota Bandar Lampung,36618,9846,10688,16084,918,51,12,3718,955,46,77,106,945,330,2688,4106,59,12,147,534,1023,2946,1640,221,227,1301,0,0,0,68,387,1647,585,72,94,34,1078,0,0,1674,93,19,838,22,575,1393,1042,2398,16,9,25,113,0,53,193,116,97,3,31,24,163,10,64,18,1829
Kota Metro,30837,9048,9974,11815,938,113,23,2120,2314,209,69,62,433,305,2462,3305,73,58,237,420,999,3544,1210,129,163,1345,0,0,0,37,61,1248,36,137,244,5,1263,0,0,1956,16,0,998,71,603,423,1017,714,0,18,0,7,0,334,287,24,1,0,21,33,265,18,77,5,551
Bangka,46973,10530,11733,24710,585,0,927,5067,948,0,11,56,539,215,2182,3632,834,32,69,224,795,2066,3789,294,1248,3486,0,0,0,1900,3693,2845,24,118,373,16,147,0,0,485,95,15,74,75,23,6041,1470,1173,530,247,43,44,16,115,79,101,5,0,1,63,382,11,0,0,1020
Belitung,48349,12206,12506,23637,849,0,154,6494,488,0,19,190,1105,309,2598,3637,1010,0,73,472,1136,2727,3451,0,1510,1244,0,0,0,854,1196,1863,189,10,102,5,8,0,0,248,122,475,100,23,65,10746,1639,1347,1099,264,10,74,0,19,118,231,20,8,0,36,348,2,48,0,1124
Bangka Barat,39158,7915,10001,21242,563,0,140,3868,655,0,0,15,675,102,1897,3170,357,13,97,240,915,3160,2006,42,670,1708,0,0,0,601,863,3758,67,193,326,69,94,0,0,353,264,0,249,198,208,5620,1756,684,577,459,112,67,11,77,224,43,0,9,0,109,907,0,18,0,1618
Bangka Tengah,44677,13064,11170,20443,1535,0,397,5392,1124,113,0,230,772,258,3243,3912,537,7,93,539,1010,3276,1794,3,359,1518,0,0,0,704,2343,2422,75,239,174,28,143,0,0,581,199,191,367,173,39,5925,1342,943,413,242,0,73,40,133,42,51,3,0,33,23,622,29,0,0,1333
Bangka Selatan,38357,9835,9016,19506,1296,0,53,4865,509,16,0,0,909,218,1969,3669,353,42,27,135,1044,1650,2097,0,273,1844,0,0,0,472,1179,2369,215,1209,615,22,59,0,0,343,347,154,198,309,62,4111,1119,1655,806,385,44,53,0,206,50,33,29,8,27,45,789,16,0,0,733
Belitung Timur,48308,12590,12286,23432,363,0,5,6507,614,0,20,23,913,230,3915,4230,706,45,205,454,1124,3067,2454,0,2752,1538,0,0,0,1214,1821,1823,35,17,383,0,101,0,0,211,396,536,48,110,187,8462,1183,1247,743,237,3,27,0,18,153,673,8,3,0,133,332,0,42,0,1748
Kota Pangkal Pinang,55510,14957,13316,27237,1235,0,708,6674,813,1,19,173,835,519,3980,4091,326,21,187,864,968,4753,2083,23,342,1556,0,0,0,2178,3576,2760,156,271,82,46,123,0,0,562,164,110,171,239,62,7344,2125,1885,434,227,0,81,14,33,98,33,6,8,0,49,445,85,26,0,2288
Karimun,43957,11094,9676,23187,559,59,316,6148,353,16,66,14,668,106,2789,3648,187,12,104,410,1249,1776,2223,67,212,1940,0,0,0,2411,1975,2296,82,62,46,170,123,0,0,310,146,0,156,251,24,4131,2878,637,151,292,117,288,26,57,1814,40,32,0,9,301,274,33,58,44,2013
Bintan,33918,8079,9292,16547,395,0,63,4725,684,16,41,0,578,101,1476,3652,193,63,34,729,1091,1285,2080,166,1001,2475,0,0,0,431,1733,1284,75,70,37,121,66,0,0,342,170,267,25,37,67,3810,952,921,254,210,335,240,35,31,1220,83,44,0,0,126,350,7,90,14,625
Natuna,29780,4657,8298,16825,374,0,0,1965,350,30,3,22,246,0,1667,3688,291,2,126,318,1282,957,1634,0,524,8428,0,0,0,0,203,464,98,10,141,3,4,0,0,181,53,0,0,0,0,2897,365,1134,336,104,0,34,0,231,438,13,0,0,0,31,170,1,0,10,1476
Lingga,34425,4696,8187,21542,100,0,37,2226,445,0,22,0,386,25,1455,3538,490,22,161,102,743,893,2220,18,451,501,0,0,0,259,2199,333,115,0,23,37,56,0,0,42,146,809,3,99,37,8169,1493,1508,976,184,63,56,64,44,1990,49,0,0,4,29,942,0,36,33,1243
Kepulauan Anambas,44231,11029,15170,18032,1797,0,41,6018,356,54,0,0,430,54,2279,6247,72,0,102,421,2520,1289,4469,50,1774,5454,0,0,0,92,2754,375,28,83,0,0,0,0,0,0,194,100,50,0,112,5110,142,1438,55,32,0,44,3,14,787,42,0,0,0,34,181,0,5,12,891
Kota Batam,47485,14630,12690,20165,1597,79,485,6448,557,204,272,82,700,229,3977,3819,200,19,123,760,739,4106,2610,313,253,2024,0,0,0,371,1243,1327,72,322,142,1694,269,0,0,1647,441,136,329,118,84,2469,1861,1222,142,188,111,113,0,20,1611,45,120,82,55,69,338,31,42,15,1412
Kota Tanjung Pinang,47162,13392,11140,22630,1083,0,187,6756,400,4,89,7,1474,359,3033,3667,121,86,113,849,779,2937,2238,349,817,2803,0,0,0,252,2518,1118,71,41,381,154,80,0,0,1202,219,231,71,191,90,4816,2310,1532,294,219,127,47,0,6,1623,39,53,0,0,177,227,19,77,14,1628
Kep. Seribu,37934,7965,9517,20452,1884,10,12,3710,472,33,0,0,705,64,1075,5515,110,0,62,1016,1169,440,1157,49,1953,4891,0,0,0,297,1067,1851,875,598,16,82,12,0,0,12,240,1219,82,94,154,2494,594,3037,283,99,35,191,0,36,331,250,2,13,10,70,184,0,164,0,1169
Kota Jakarta Selatan,48872,20249,13448,15175,4597,0,32,6657,495,192,782,479,1947,540,4528,3797,75,11,259,2857,709,3134,1840,766,105,843,0,0,0,158,161,1779,56,706,24,371,1034,0,0,1436,329,0,214,672,705,196,1499,688,26,38,142,34,2,191,596,16,110,182,132,182,180,30,442,30,1971
Kota Jakarta Timur,43942,14921,12878,16143,3882,34,53,5965,386,58,234,272,1163,279,2595,4014,77,38,224,2147,906,3053,1986,432,104,1413,0,0,0,216,160,2042,262,988,60,730,1187,0,0,1739,222,32,286,491,641,128,1458,697,10,103,34,62,0,167,788,42,116,55,146,127,101,19,323,24,1274
Kota Jakarta Pusat,42552,15350,13988,13214,4083,0,241,5140,279,47,192,379,1323,371,3295,3815,31,19,197,2225,585,4267,2462,387,194,1159,0,0,0,348,124,2029,189,517,75,564,350,0,0,1375,161,25,195,462,412,113,901,571,0,90,18,54,14,221,520,7,101,39,158,142,66,28,272,32,1882
Kota Jakarta Barat,45109,15595,11999,17515,4098,67,268,5209,672,87,248,321,1330,257,3038,3707,197,7,285,2207,915,2521,1810,350,152,925,0,0,0,361,249,2612,224,1598,54,637,610,0,0,1115,351,58,198,793,581,272,1511,906,11,75,72,115,4,127,719,31,167,83,321,110,149,61,390,20,2005
Kota Jakarta Utara,48110,16554,11750,19806,4736,10,421,5556,457,40,80,185,1587,291,3191,3872,105,20,218,2316,981,2103,1780,355,253,1608,0,0,0,470,209,3175,274,1658,83,852,496,0,0,1288,275,71,240,1096,505,205,1692,1187,13,82,225,143,22,218,605,35,78,35,104,112,112,54,203,18,2363
Bogor,25996,8596,7885,9515,947,67,66,4398,236,51,44,193,901,425,1268,3515,36,8,62,567,852,1447,1138,261,14,514,0,0,0,89,70,569,125,323,65,383,1487,0,0,394,62,0,34,187,95,62,440,207,0,14,35,117,27,674,1391,160,249,113,276,91,310,199,249,75,429
Sukabumi,25122,8342,6858,9922,676,74,6,4589,609,48,0,58,857,141,1284,4442,87,55,29,208,688,532,709,108,19,653,0,0,0,37,89,260,60,60,10,274,1921,0,0,67,71,17,17,191,68,748,136,198,8,0,57,217,18,725,1601,335,513,33,175,68,309,206,243,54,483
Cianjur,19125,6730,5160,7235,765,51,12,3377,542,11,92,9,770,175,926,3119,49,63,74,267,653,179,592,164,20,46,0,0,0,50,3,53,97,87,47,222,1825,0,0,55,20,0,36,175,1,47,94,27,0,8,21,270,11,856,1315,143,293,346,198,72,330,50,102,58,277
Bandung,26473,11091,7884,7498,1621,48,0,5931,319,10,74,19,1033,289,1747,4070,37,40,37,601,769,644,1212,474,10,164,0,0,0,4,6,264,12,231,45,361,2409,0,0,209,24,0,219,63,134,34,269,222,35,10,20,294,33,584,93,62,469,440,17,55,150,12,252,13,289
Garut,17197,6960,5564,4673,412,53,19,3927,532,62,65,16,697,286,891,3348,90,55,28,193,766,396,533,155,0,156,0,0,0,0,43,28,2,94,2,375,1613,0,0,63,43,38,3,188,57,89,71,101,11,0,0,280,10,254,29,63,206,275,19,37,303,1,71,24,124
Tasikmalaya,21033,8419,6155,6459,815,103,11,3335,943,57,88,39,940,217,1871,3553,159,103,72,576,668,366,596,63,6,121,0,0,0,0,6,21,13,95,30,987,2126,0,0,145,0,0,21,214,174,156,106,19,5,0,12,526,7,238,132,30,80,274,5,118,173,26,69,10,520
Ciamis,23047,8761,6417,7869,759,29,58,3342,880,0,10,67,827,149,2640,3119,236,26,78,194,1152,652,846,115,6,34,0,0,0,6,1,5,18,126,68,2516,1441,0,0,134,45,0,49,104,203,171,176,83,65,15,0,530,1,98,169,56,65,243,10,93,295,12,78,47,912
Kuningan,18479,7949,5991,4539,462,178,0,3944,504,40,99,79,743,190,1710,3020,62,14,76,276,715,886,717,225,0,76,0,0,0,0,0,78,16,189,4,894,642,0,0,252,0,0,81,55,99,31,67,69,15,13,4,154,9,63,176,59,46,398,11,63,258,77,57,56,527
Cirebon,17133,6920,5389,4824,478,67,2,3025,158,6,7,19,1009,183,1966,2311,23,19,185,306,845,434,1019,246,22,71,0,0,0,7,28,138,29,712,51,362,160,0,0,375,29,0,31,139,66,169,253,272,0,87,19,63,9,96,85,67,84,261,5,19,228,26,61,26,796
Majalengka,21253,9679,6995,4579,1151,257,0,3229,696,18,34,27,1004,99,3164,3767,64,25,123,362,961,1186,419,89,5,75,0,0,0,0,0,7,30,54,17,615,1228,0,0,263,8,0,15,5,103,36,26,101,63,21,12,212,0,121,63,74,83,261,26,25,256,40,19,44,676
Sumedang,21613,8703,6811,6099,760,97,0,4035,291,20,57,34,949,213,2247,3542,46,10,68,462,761,604,1129,189,50,58,0,0,0,21,33,65,8,78,3,705,2031,0,0,65,0,0,148,27,116,98,172,56,0,15,10,330,10,277,64,263,407,142,5,52,226,21,81,7,505
Indramayu,23515,7815,6327,9373,365,1,17,3094,317,0,0,11,1244,267,2499,3772,41,95,142,161,873,420,720,102,55,286,0,0,0,70,40,258,128,1146,234,749,386,0,0,590,96,0,27,139,87,319,376,596,21,62,36,184,15,84,203,160,67,131,14,69,196,28,19,31,2526
