Kabupaten/Kota,TOTAL,DAGING,TELUR DAN SUSU,IKAN,Daging_sapi,"Daging_kambing,_domba/biri-biri",Daging_babi,Daging_ayam_ras,Daging_ayam_kampung,Daging_segar_lainnya,Daging_diawetkan_lainnya,"Tetelan,_sandung_lamur",Daging_olahan_matang,"Lainnya_(_hati,_jeroan,_iga,_kaki,_buntut,_kepala,_dsb)",Ayam_matang,Telur_ayam_ras,Telur_ayam_kampung,Telur_itik/telur_itik_manila,"Telur_lainnya_(telur_puyuh,_telur_asin_mentah_maupun_matang,_telur_penyu,_telur_angsa,_dsb)",Susu_cair_pabrik,Susu_kental_manis,Susu_bubuk,Susu_bubuk_bayi,Susu_lainnya_dan_hasil_lain_dari_susu,Ekor_kuning,Tongkol_tuna_cakalang_dencis_ikan_kayu,Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung,_lema/tatare,_banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas,_nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan_segar/basah_lainnya,"Udang,_lobster","Cumi-cumi,_sotong,_gurita","Ketam,_kepiting,_rajungan","Kerang,_siput,_bekicot,_remis",Udang_dan_hewan_air_lainnya_yang_segar_lainnya,Kembung_diawetkan/peda,Tenggiri_diawetkan,Tongkol/tuna/cakalang_diawetkan,Teri_diawetkan,Selar_diawetkan,Sepat_diawetkan,Bandeng_diawetkan,Gabus_diawetkan,"Ikan_dalam_kaleng_(sardencis,_tuna_dalam_kaleng,_dsb)",Ikan_diawetkan_lainnya,"Udang_diawetkan_(ebi,_rebon)","Cumi-cumi,_sotong,_gurita_diawetkan",ang_dan_hewan_air_lainnya_yang_diawetkan,Ikan_matang
Pulau Taliabu,14430,593,2898,10939,206,0,11,76,274,0,0,0,0,0,26,1467,187,0,0,9,379,382,473,0,1248,3811,0,0,0,92,883,1542,233,0,135,75,0,0,0,50,2459,375,0,0,0,493,44,610,33,0,0,0,0,7,19,2,0,0,0,16,0,0,15,0,45
Kota Ternate,29756,4735,6490,18531,141,0,0,1060,174,0,4,0,195,0,3161,2283,65,0,30,542,156,1546,1867,0,2444,6265,0,0,0,44,2164,1615,353,18,0,218,80,0,0,0,307,13,0,0,25,3160,34,312,0,0,0,13,28,890,463,0,0,0,0,13,66,0,0,0,2450
Kota Tidore Kepulauan,24088,2821,4823,16444,147,0,0,416,379,11,58,0,283,0,1527,1846,252,22,0,359,633,679,1032,0,1476,5942,0,0,0,544,2471,1145,153,0,4,11,0,0,0,0,437,219,0,0,0,2759,93,287,0,0,0,7,35,930,402,3,0,0,0,7,305,0,0,3,687
Fakfak,31752,5049,9160,17543,72,75,634,1889,400,346,23,0,45,94,1471,3166,151,20,0,30,606,2544,2634,9,1348,4666,0,0,0,320,649,3532,661,65,0,33,62,0,0,52,2968,229,5,808,197,987,344,228,253,4,60,36,38,183,199,22,0,8,10,32,48,4,21,5,814
Kaimana,27911,5728,7722,14461,95,0,1277,2080,109,1370,47,0,36,0,714,2764,145,2,49,258,715,1474,2243,72,1679,2491,0,0,0,533,60,2827,275,10,52,8,0,0,0,177,1755,80,60,56,213,2547,814,750,474,405,2,59,100,18,75,0,0,100,24,25,164,3,7,0,297
Teluk Wondama,40175,8832,9010,22333,727,43,2999,2012,342,1781,210,0,151,116,451,2652,69,0,2,332,1649,2338,1800,169,1364,4552,0,0,0,833,58,7257,238,80,219,210,75,0,0,12,2948,184,0,0,17,3646,568,332,114,168,40,33,9,15,57,0,0,0,0,223,244,0,0,0,201
Teluk Bintuni,43043,9686,10829,22528,369,0,1775,2453,964,1646,16,0,198,0,2265,4942,34,200,21,155,920,1520,2909,126,1487,2900,0,0,0,415,60,2641,426,650,1074,1110,394,0,0,394,2272,18,18,211,0,2986,2349,420,1222,27,104,34,8,15,201,5,0,12,0,133,262,56,0,0,2111
Manokwari,34660,7473,10315,16872,372,0,883,3037,989,495,202,26,272,27,1170,3024,134,144,24,202,1201,2455,2754,377,2417,5807,0,0,0,102,321,1667,587,86,239,997,0,0,0,327,509,24,9,14,20,3071,594,796,131,39,0,49,53,94,127,39,5,0,0,169,358,11,24,42,561
Sorong Selatan,32745,7214,5918,19613,59,26,3377,1763,342,1002,73,0,73,12,487,2710,71,0,0,182,590,1016,1221,127,1109,1318,0,0,0,152,283,2629,85,440,777,278,363,0,0,516,833,103,0,98,0,4577,2215,50,598,243,287,3,7,58,13,0,1,0,31,117,35,0,0,0,3503
Sorong,31644,6763,8323,16558,225,15,844,2931,780,757,30,10,146,106,919,3764,114,5,28,138,817,1604,1794,60,1510,4185,0,0,0,311,371,3593,1273,57,571,603,77,0,0,468,1025,218,5,3,75,846,616,357,34,69,15,46,10,271,197,28,0,0,2,19,488,23,0,6,696
